FCI_Group,Group_Name,Breeds
1,Hound,Afghan Hound;Basset Bleu de Gascogne;Basset Fauve de Bretagne;Basset Griffon Vendeen (Grand);Basset Griffon Vendeen (Petit);Basset Hound;Beagle;Bloodhound;Borzoi;Cirneco dell'Etna;Dachshund (Long Haired);Dachshund (Miniature Long Haired);Dachshund (Smooth Haired);Dachshund (Miniature Smooth Haired);Dachshund (Wire Haired);Dachshund (Miniature Wire Haired);Deerhound;Finnish Spitz;Foxhound;Greyhound;Hamiltonstovare;Harrrier;Ibizan Hound;Irish Wolfhound;Norwegian Elkhound;Otterhound;Pharaoh Hound;Rhodesian Ridgeback;Saluki;Whippet
2,Working,Alaskan Malamute;Bernese Mountain Dog;Bouvier des Flandres;Boxer;Bullmastiff;Dobermann;Dogue de Bordeaux;German Pinscher;Giant Schnauzer;Great Dane;Greater Swiss Mountain Dog;Karelian Bear Dog;Leonberger;Mastiff;Neapolitan Mastiff;Newfoundland;Portuguese Water Dog;Rottweiler;Russian Black Terrier;St Bernard;Siberian Husky;Tibetan Mastiff
3,Terrier,Airedale Terrier;Australian Terrier;Bedlington Terrier;Border Terrier;Bull Terrier;Bull Terrier (Miniature);Cairn Terrier;Cesky Terrier;Dandie Dinmont Terrier;Fox Terrier (Smooth);Fox Terrier (Wire);Glen of Imaal Terrier;Irish Terrier;Kerry Blue Terrier;Lakeland Terrier;Manchester Terrier;Norfolk Terrier;Norwich Terrier;Parson Russell Terrier;Scottish Terrier;Sealyham Terrier;Skye Terrier;Soft Coated Wheaten Terrier;Staffordshire Bull Terrier;Welsh Terrier;West Highland White Terrier
4,Gundog,Bracco Italiano;Brittany;English Setter;German Longhaired Pointer;German Shorthaired Pointer;German Wirehaired Pointer;Gordon Setter;Hungarian Vizsla;Hungarian Wirehaired Vizsla;Irish Red and White Setter;Irish Setter;Italian Spinone;Lagotto Romagnolo;Large Munsterlander;Pointer;Retriever (Chesapeake Bay);Retriever (Curly Coated);Retriever (Flat Coated);Retriever (Golden);Retriever (Labrador);Retriever (Nova Scotia Duck Tolling);Spaniel (American Cocker);Spaniel (Clumber);Spaniel (Cocker);Spaniel (English Springer);Spaniel (Field);Spaniel (Irish Water);Spaniel (Sussex);Spaniel (Welsh Springer);Spanish Water Dog;Weimaraner
5,Pastoral,Anatolian Shepherd Dog;Australian Cattle Dog;Australian Shepherd;Bearded Collie;Belgian Shepherd Dog (Groenendael);Belgian Shepherd Dog (Laekenois);Belgian Shepherd Dog (Malinois);Belgian Shepherd Dog (Tervueren);Border Collie;Briard;Catalan Sheepdog;Collie (Rough);Collie (Smooth);Finnish Lapphund;German Shepherd Dog;Komondor;Lancashire Heeler;Maremma Sheepdog;Old English Sheepdog;Polish Lowland Sheepdog;Pyrenean Mountain Dog;Samoyed;Shetland Sheepdog;Swedish Vallhund;Welsh Corgi (Cardigan);Welsh Corgi (Pembroke)
6,Utility,Akita;Boston Terrier;Bulldog;Canaan Dog;Chow Chow;Dalmatian;French Bulldog;German Spitz (Klein);German Spitz (Mittel);Japanese Akita Inu;Japanese Spitz;Keeshond;Lhasa Apso;Lowchen / Little Lion Dog;Poodle (Standard);Poodle (Miniature);Poodle (Toy);Schipperke;Schnauzer;Shar Pei;Shih Tzu;Tibetan Spaniel;Tibetan Terrier
7,Toy,Affenpinscher;Bichon Frise;Bolognese;Cavalier King Charles Spaniel;Chihuahua (Long Coat);Chihuahua (Smooth Coat);Chinese Crested;Coton de Tulear;English Toy Terrier (Black & Tan);Griffon Bruxellois;Havanese;Italian Greyhound;Japanese Chin;King Charles Spaniel;Maltese;Miniature Pinscher;Papillon;Pekingese;Pomeranian;Pug;Russian Toy;Yorkshire Terrier
